TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
02:13:29 30/01/0024,37.768898,-122.49290,41.200,2.7000,69.269,14.415,102.00,1.0000,0.0000,1015.4
02:13:29 30/01/0024,37.768898,-122.49290,41.200,2.7000,69.269,14.415,102.00,1.0000,0.0000,1015.4
02:13:32 30/01/0024,37.768837,-122.49311,41.400,2.6000,69.209,14.420,102.00,1.0000,0.0000,1015.4
02:13:32 30/01/0024,37.768837,-122.49311,41.400,2.6000,69.209,14.420,102.00,1.0000,0.0000,1015.4
02:13:33 30/01/0024,37.768818,-122.49318,41.400,2.6000,69.169,14.425,102.00,1.0000,0.0000,1015.4
02:13:33 30/01/0024,37.768818,-122.49318,41.400,2.6000,69.169,14.425,102.00,1.0000,0.0000,1015.4
02:13:35 30/01/0024,37.768787,-122.49330,41.599,2.6000,69.150,14.425,102.00,1.0000,0.0000,1015.5
02:13:35 30/01/0024,37.768787,-122.49330,41.599,2.6000,69.150,14.425,102.00,1.0000,0.0000,1015.5
02:13:36 30/01/0024,37.768768,-122.49337,41.599,2.7000,69.110,14.430,102.00,1.0000,0.0000,1015.4
02:13:36 30/01/0024,37.768768,-122.49337,41.599,2.7000,69.110,14.430,102.00,1.0000,0.0000,1015.4
02:13:38 30/01/0024,37.768742,-122.49350,41.200,2.7000,69.080,14.430,102.00,1.0000,0.0000,1015.5
02:13:38 30/01/0024,37.768742,-122.49350,41.200,2.7000,69.080,14.430,102.00,1.0000,0.0000,1015.5
02:13:40 30/01/0024,37.768715,-122.49360,41.000,2.8000,69.019,14.435,102.00,1.0000,0.0000,1015.4
02:13:40 30/01/0024,37.768715,-122.49360,41.000,2.8000,69.019,14.435,102.00,1.0000,0.0000,1015.4
02:13:41 30/01/0024,37.768696,-122.49366,41.099,2.8000,68.980,14.435,102.00,1.0000,0.0000,1015.5
02:13:41 30/01/0024,37.768696,-122.49366,41.099,2.8000,68.980,14.435,102.00,1.0000,0.0000,1015.5
02:13:43 30/01/0024,37.768677,-122.49375,41.099,2.8000,68.970,14.435,102.00,1.0000,0.0000,1015.5
02:13:43 30/01/0024,37.768677,-122.49375,41.099,2.8000,68.970,14.435,102.00,1.0000,0.0000,1015.5
02:13:44 30/01/0024,37.768661,-122.49381,40.799,2.8000,68.930,14.440,102.00,1.0000,0.0000,1015.5
02:13:44 30/01/0024,37.768661,-122.49381,40.799,2.8000,68.930,14.440,102.00,1.0000,0.0000,1015.5
02:13:46 30/01/0024,37.768631,-122.49391,40.700,2.8000,68.910,14.440,102.00,1.0000,0.0000,1015.5
02:13:46 30/01/0024,37.768631,-122.49391,40.700,2.8000,68.910,14.440,102.00,1.0000,0.0000,1015.5
02:13:48 30/01/0024,37.768597,-122.49400,40.900,2.9000,68.879,14.440,102.00,1.0000,0.0000,1015.4
02:13:48 30/01/0024,37.768597,-122.49400,40.900,2.9000,68.879,14.440,102.00,1.0000,0.0000,1015.4
02:13:49 30/01/0024,37.768585,-122.49405,40.900,2.9000,68.849,14.445,102.00,1.0000,0.0000,1015.4
02:13:49 30/01/0024,37.768585,-122.49405,40.900,2.9000,68.849,14.445,102.00,1.0000,0.0000,1015.4
02:13:51 30/01/0024,37.768559,-122.49414,41.000,2.9000,68.800,14.445,102.00,1.0000,0.0000,1015.5
02:13:51 30/01/0024,37.768559,-122.49414,41.000,2.9000,68.800,14.445,102.00,1.0000,0.0000,1015.5
02:13:52 30/01/0024,37.768547,-122.49419,41.000,3.0000,68.750,14.445,102.00,1.0000,0.0000,1015.5
02:13:52 30/01/0024,37.768547,-122.49419,41.000,3.0000,68.750,14.445,102.00,1.0000,0.0000,1015.5
02:13:54 30/01/0024,37.768524,-122.49428,40.799,3.0000,68.730,14.445,102.00,1.0000,0.0000,1015.5
02:13:54 30/01/0024,37.768524,-122.49428,40.799,3.0000,68.730,14.445,102.00,1.0000,0.0000,1015.5
02:13:56 30/01/0024,37.768497,-122.49437,40.700,3.0000,68.709,14.445,102.00,1.0000,0.0000,1015.5
02:13:56 30/01/0024,37.768497,-122.49437,40.700,3.0000,68.709,14.445,102.00,1.0000,0.0000,1015.5
02:13:57 30/01/0024,37.768486,-122.49441,40.599,2.9000,68.709,14.445,102.00,1.0000,0.0000,1015.4
02:13:57 30/01/0024,37.768486,-122.49441,40.599,2.9000,68.709,14.445,102.00,1.0000,0.0000,1015.4
02:13:59 30/01/0024,37.768456,-122.49449,40.099,2.9000,68.709,14.445,102.00,1.0000,0.0000,1015.4
02:13:59 30/01/0024,37.768456,-122.49449,40.099,2.9000,68.709,14.445,102.00,1.0000,0.0000,1015.4
02:14:00 30/01/0024,37.768440,-122.49455,40.000,2.9000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:00 30/01/0024,37.768440,-122.49455,40.000,2.9000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:02 30/01/0024,37.768410,-122.49464,39.900,2.9000,68.730,14.445,102.00,1.0000,0.0000,1015.5
02:14:02 30/01/0024,37.768410,-122.49464,39.900,2.9000,68.730,14.445,102.00,1.0000,0.0000,1015.5
02:14:04 30/01/0024,37.768379,-122.49473,39.700,3.0000,68.739,14.445,102.00,1.0000,0.0000,1015.4
02:14:04 30/01/0024,37.768379,-122.49473,39.700,3.0000,68.739,14.445,102.00,1.0000,0.0000,1015.4
02:14:05 30/01/0024,37.768360,-122.49478,39.599,3.0000,68.730,14.445,102.00,1.0000,0.0000,1015.4
02:14:05 30/01/0024,37.768360,-122.49478,39.599,3.0000,68.730,14.445,102.00,1.0000,0.0000,1015.4
02:14:07 30/01/0024,37.768318,-122.49487,39.599,3.1000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:07 30/01/0024,37.768318,-122.49487,39.599,3.1000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:08 30/01/0024,37.768295,-122.49491,39.500,3.2000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:08 30/01/0024,37.768295,-122.49491,39.500,3.2000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:10 30/01/0024,37.768238,-122.49498,39.400,3.4000,68.709,14.445,102.00,1.0000,0.0000,1015.4
02:14:10 30/01/0024,37.768238,-122.49498,39.400,3.4000,68.709,14.445,102.00,1.0000,0.0000,1015.4
02:14:12 30/01/0024,37.768166,-122.49509,40.000,3.5000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:12 30/01/0024,37.768166,-122.49509,40.000,3.5000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:13 30/01/0024,37.768131,-122.49511,40.000,3.6000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:13 30/01/0024,37.768131,-122.49511,40.000,3.6000,68.720,14.445,102.00,1.0000,0.0000,1015.4
02:14:15 30/01/0024,37.768063,-122.49517,40.099,3.7000,68.730,14.450,102.00,1.0000,0.0000,1015.4
02:14:15 30/01/0024,37.768063,-122.49517,40.099,3.7000,68.730,14.450,102.00,1.0000,0.0000,1015.4
02:14:16 30/01/0024,37.768021,-122.49519,39.900,3.7000,68.760,14.450,102.00,1.0000,0.0000,1015.5
