TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
01:56:47 30/01/0024,37.768902,-122.49294,42.299,2.4000,74.459,13.145,100.00,1.0000,0.0000,1014.9
01:56:47 30/01/0024,37.768902,-122.49294,42.299,2.4000,74.459,13.145,100.00,1.0000,0.0000,1014.9
01:56:50 30/01/0024,37.768860,-122.49308,42.900,2.4000,74.440,13.145,100.00,1.0000,0.0000,1015.0
01:56:50 30/01/0024,37.768860,-122.49308,42.900,2.4000,74.440,13.145,100.00,1.0000,0.0000,1015.0
01:56:51 30/01/0024,37.768848,-122.49311,42.799,2.4000,74.410,13.140,100.00,1.0000,0.0000,1014.9
01:56:51 30/01/0024,37.768848,-122.49311,42.799,2.4000,74.410,13.140,100.00,1.0000,0.0000,1014.9
01:56:53 30/01/0024,37.768818,-122.49322,42.299,2.5000,74.389,13.140,100.00,1.0000,0.0000,1014.9
01:56:53 30/01/0024,37.768818,-122.49322,42.299,2.5000,74.389,13.140,100.00,1.0000,0.0000,1014.9
01:56:55 30/01/0024,37.768784,-122.49334,42.000,2.5000,74.370,13.135,100.00,1.0000,0.0000,1014.9
01:56:55 30/01/0024,37.768784,-122.49334,42.000,2.5000,74.370,13.135,100.00,1.0000,0.0000,1014.9
01:56:56 30/01/0024,37.768768,-122.49338,41.500,2.6000,74.349,13.135,100.00,1.0000,0.0000,1014.9
01:56:56 30/01/0024,37.768768,-122.49338,41.500,2.6000,74.349,13.135,100.00,1.0000,0.0000,1014.9
01:56:58 30/01/0024,37.768730,-122.49351,41.000,2.6000,74.330,13.130,100.00,1.0000,0.0000,1015.0
01:56:58 30/01/0024,37.768730,-122.49351,41.000,2.6000,74.330,13.130,100.00,1.0000,0.0000,1015.0
01:56:59 30/01/0024,37.768711,-122.49358,40.900,2.6000,74.290,13.125,100.00,1.0000,0.0000,1014.9
01:56:59 30/01/0024,37.768711,-122.49358,40.900,2.6000,74.290,13.125,100.00,1.0000,0.0000,1014.9
01:57:01 30/01/0024,37.768669,-122.49372,40.599,2.5000,74.230,13.120,100.00,1.0000,0.0000,1014.9
01:57:01 30/01/0024,37.768669,-122.49372,40.599,2.5000,74.230,13.120,100.00,1.0000,0.0000,1014.9
01:57:03 30/01/0024,37.768631,-122.49386,39.799,2.5000,74.209,13.120,100.00,1.0000,0.0000,1014.9
01:57:03 30/01/0024,37.768631,-122.49386,39.799,2.5000,74.209,13.120,100.00,1.0000,0.0000,1014.9
01:57:04 30/01/0024,37.768612,-122.49394,39.099,2.5000,74.190,13.115,100.00,1.0000,0.0000,1014.9
01:57:04 30/01/0024,37.768612,-122.49394,39.099,2.5000,74.190,13.115,100.00,1.0000,0.0000,1014.9
01:57:06 30/01/0024,37.768574,-122.49408,38.099,2.5000,74.190,13.110,100.00,1.0000,0.0000,1014.9
01:57:06 30/01/0024,37.768574,-122.49408,38.099,2.5000,74.190,13.110,100.00,1.0000,0.0000,1014.9
01:57:07 30/01/0024,37.768555,-122.49415,37.700,2.6000,74.160,13.105,100.00,1.0000,0.0000,1015.0
01:57:07 30/01/0024,37.768555,-122.49415,37.700,2.6000,74.160,13.105,100.00,1.0000,0.0000,1015.0
01:57:09 30/01/0024,37.768509,-122.49430,38.200,2.6000,74.150,13.105,100.00,1.0000,0.0000,1014.9
01:57:09 30/01/0024,37.768509,-122.49430,38.200,2.6000,74.150,13.105,100.00,1.0000,0.0000,1014.9
01:57:10 30/01/0024,37.768486,-122.49438,37.400,2.8000,74.150,13.100,100.00,1.0000,0.0000,1014.9
01:57:10 30/01/0024,37.768486,-122.49438,37.400,2.8000,74.150,13.100,100.00,1.0000,0.0000,1014.9
01:57:12 30/01/0024,37.768444,-122.49453,37.599,2.8000,74.160,13.095,100.00,1.0000,0.0000,1014.9
01:57:12 30/01/0024,37.768444,-122.49453,37.599,2.8000,74.160,13.095,100.00,1.0000,0.0000,1014.9
01:57:14 30/01/0024,37.768398,-122.49468,37.700,2.9000,74.160,13.095,100.00,1.0000,0.0000,1014.9
01:57:14 30/01/0024,37.768398,-122.49468,37.700,2.9000,74.160,13.095,100.00,1.0000,0.0000,1014.9
